Repository's Location,Branch,Author's GitHub ID,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/CS2113-AY1819S1-W12-1/main.git,master,linnnruoo,BAO...RUO,linnnruoo,
https://github.com/CS2113-AY1819S1-W12-1/main.git,master,driedmelon,CHU...WEI,driedmelon,
https://github.com/CS2113-AY1819S1-W12-1/main.git,master,elstonayx,ELS...UAN,elstonayx,
https://github.com/CS2113-AY1819S1-W12-1/main.git,master,jitwei98,LIM...WEI,jitwei98,
https://github.com/CS2113-AY1819S1-W12-1/main.git,master,junweiljw,LOW...WEI,junweiljw,
https://github.com/CS2113-AY1819S1-W12-2/main.git,master,BearPerson1,HU ...ING,BearPerson1,
https://github.com/CS2113-AY1819S1-W12-2/main.git,master,leegengyu,LEE... YU,leegengyu,
https://github.com/CS2113-AY1819S1-W12-2/main.git,master,E0201942,LIM...DEN,E0201942,
https://github.com/CS2113-AY1819S1-W12-2/main.git,master,auskure,LOH...CAR,auskure,
https://github.com/CS2113-AY1819S1-W12-3/main.git,master,lekoook,LEE...ENG,lekoook,
https://github.com/CS2113-AY1819S1-W12-3/main.git,master,lws803,LER...ENG,lws803,
https://github.com/CS2113-AY1819S1-W12-3/main.git,master,Limminghong,LIM...ONG,Limminghong,
https://github.com/CS2113-AY1819S1-W12-3/main.git,master,peiying98,LIM...ING,peiying98,
https://github.com/CS2113-AY1819S1-W12-3/main.git,master,LowGinWee,LOW...WEE,LowGinWee,
https://github.com/CS2113-AY1819S1-W12-4/main.git,master,bluein-green,JIN...JIA,bluein-green,
https://github.com/CS2113-AY1819S1-W12-4/main.git,master,scottljw,LI ...WEI,scottljw,
https://github.com/CS2113-AY1819S1-W12-4/main.git,master,Lunastryke,LIM...HAO,Lunastryke,
https://github.com/CS2113-AY1819S1-W12-4/main.git,master,liu-tianhang,LIU...ANG,liu-tianhang,
https://github.com/CS2113-AY1819S1-W13-1/main.git,master,bennchong,BEN... YI,bennchong,
https://github.com/CS2113-AY1819S1-W13-1/main.git,master,cjinting-nus,CHE...ING,cjinting-nus,
https://github.com/CS2113-AY1819S1-W13-1/main.git,master,alexiscatnip,KHO...HUI,alexiscatnip,
https://github.com/CS2113-AY1819S1-W13-1/main.git,master,nianfei97,TEH...FEI,nianfei97,
https://github.com/CS2113-AY1819S1-W13-2/main.git,master,shuanang,ANG...UAN,shuanang,
https://github.com/CS2113-AY1819S1-W13-2/main.git,master,arjo129,ARJ...RTY,arjo129,
https://github.com/CS2113-AY1819S1-W13-2/main.git,master,cjunxiang,CHE...ANG,cjunxiang,
https://github.com/CS2113-AY1819S1-W13-2/main.git,master,tttaus,TAN...NCE,tttaus,
